ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
0000418f7ade0445,xclick,/m/080hkjn,1,0.146667,0.863333,0.133333,0.983333,1,0,0,0,0
0000418f7ade0445,xclick,/m/080hkjn,1,0.173333,0.826667,0.013333,0.820000,0,0,0,0,0
0006bce593ba9aa7,xclick,/m/080hkjn,1,0.067500,0.629375,0.615000,0.999167,0,1,0,0,0
000c0b352a9f8c24,xclick,/m/080hkjn,1,0.135625,0.718750,0.002833,0.982059,1,1,0,0,0
00127a58355265a3,xclick,/m/080hkjn,1,0.150625,0.682500,0.133185,0.900111,1,0,0,0,0
001c28ac8b2a870b,xclick,/m/080hkjn,1,0.106004,0.865854,0.048750,0.978125,0,0,0,0,0
001ec27cfc96e78b,xclick,/m/080hkjn,1,0.375959,0.966752,0.068000,0.862000,0,0,0,1,0
002000a73c004f28,xclick,/m/080hkjn,1,0.136449,0.840187,0.021250,0.943125,1,0,0,0,0
00302ce2ee3cba1c,xclick,/m/080hkjn,1,0.172500,0.421250,0.231776,0.448598,1,0,0,0,0
00359729d7b4728f,xclick,/m/080hkjn,1,0.000000,0.153125,0.051562,0.259375,1,1,0,0,0
00359729d7b4728f,xclick,/m/080hkjn,1,0.040625,0.251563,0.000000,0.235938,1,1,0,0,0
00359729d7b4728f,xclick,/m/080hkjn,1,0.045313,0.428125,0.231250,0.568750,1,0,0,0,0
00359729d7b4728f,xclick,/m/080hkjn,1,0.243750,0.567187,0.000000,0.450000,1,1,0,0,0
0043d748121f4a3b,xclick,/m/080hkjn,1,0.570000,0.731250,0.818267,0.999058,1,1,0,0,0
0043d748121f4a3b,xclick,/m/080hkjn,1,0.778125,0.910625,0.310734,0.679849,1,0,0,0,0
004ebf13f9bf13ad,xclick,/m/080hkjn,1,0.030000,0.497143,0.030303,0.496970,1,0,0,0,0
004ebf13f9bf13ad,xclick,/m/080hkjn,1,0.117143,0.464286,0.549495,0.935354,0,0,0,0,0
004ebf13f9bf13ad,xclick,/m/080hkjn,1,0.527143,0.898571,0.585859,0.913131,0,0,0,0,0
004ebf13f9bf13ad,xclick,/m/080hkjn,1,0.540000,0.915714,0.010101,0.559596,0,0,0,0,0
004f1e43877d3820,xclick,/m/080hkjn,1,0.275926,0.572222,0.751190,0.952381,1,0,0,0,0
0054a60d9c375afa,xclick,/m/080hkjn,1,0.730833,0.934167,0.720625,0.999375,1,1,0,0,0
